SL_No,Ref#,Standard#,Head_Level,H1#,H1_Ch_Title,H1_Credits,H2#,H2_Sec_Title,H2_Credits,H3#,H3_Sec_Title,H3_Credits,Item#,Standard_Text,Prerequisite,Goals,Phases,Points,Instruction Subpart,Instruction,FigA_No,FigA_Caption,FigA_AltTag,FigA_Status,FigB_No,FigB_Caption,FigB_AltTag,FigB_Status,FigC_No,FigC_Caption,FigC_AltTag,FigC_Status,FigD_No,FigD_Caption,FigD_AltTag,FigD_Status
1,782,1.1.1,H2,1,Design Process,4,1,Project Development Team,2,0,,0,1,Project development team selects a universal design development coordinator responsible for managing the design process and preparing the necessary materials to support certification.,,,Initiate,1,1,2 Credits: Implement 5 of 6      |      1 Credit: Implement 3 of 6,,,,,,,,,,,,,,,,
2,4,1.1.2,H2,1,Design Process,4,1,Project Development Team,2,0,,0,2,"Project development team includes diverse stakeholders (e.g., employees of different job titles, gender, various age groups, people with disabilities, potential visitors, representatives from client organization, representatives from design team, etc.).",,Social IntegrationCultural Appropriateness,InitiateSchematic DesignDesign Development,1,1,2 Credits: Implement 5 of 6      |      1 Credit: Implement 3 of 6,,,,,,,,,,,,,,,,
3,13,1.1.3,H2,1,Design Process,4,1,Project Development Team,2,0,,0,3,Project development team consults with universal design specialists.,,,InitiateSchematic DesignDesign DevelopmentSpecificationsOperations,1,1,2 Credits: Implement 5 of 6      |      1 Credit: Implement 3 of 6,,,,,,,,,,,,,,,,
4,17,1.1.4,H2,1,Design Process,4,1,Project Development Team,2,0,,0,4,"Project development team conducts research with future facility users to identify and prioritize issues (e.g., confidential survey, design workshop, focus group, open meeting, etc.).",,Social IntegrationCultural Appropriateness,InitiateSchematic Design,1,1,2 Credits: Implement 5 of 6      |      1 Credit: Implement 3 of 6,,,,,,,,,,,,,,,,
5,15,1.1.5,H2,1,Design Process,4,1,Project Development Team,2,0,,0,5,"Project development team conducts research on best practices in universal design, with particular attention to examples that demonstrate integration with other human centered design goals (e.g., sustainability, active living, environmental health, etc.).",,Social IntegrationCultural Appropriateness,Initiate,1,1,2 Credits: Implement 5 of 6      |      1 Credit: Implement 3 of 6,,,,,,,,,,,,,,,,
6,24,1.1.6,H2,1,Design Process,4,1,Project Development Team,2,0,,0,6,Project development team develops marketing strategy to educate facility users on universal design.,,,InitiateOperations,1,1,2 Credits: Implement 5 of 6      |      1 Credit: Implement 3 of 6,,,,,,,,,,,,,,,,
7,790,1.2.1,H2,1,Design Process,4,2,Universal Design Education,2,0,,0,1,"Workshops with project development team occur during more than one phase of design and/or construction (e.g., initiate, schematic design, design development, construction documents, etc.).",,,InitiateSchematic DesignDesign DevelopmentSpecificationsOperations,1,2,2 Credits: Implement 2 of 3,,,,,,,,,,,,,,,,
8,786,1.2.2,H2,1,Design Process,4,2,Universal Design Education,2,0,,0,2,Expert in the field develops a universal design training program for designers and key stakeholders.,,,Initiate,1,2,2 Credits: Implement 2 of 3,,,,,,,,,,,,,,,,
9,788,1.2.3,H2,1,Design Process,4,2,Universal Design Education,2,0,,0,3,Designers and key stakeholders have access to universal design education materials.,,,InitiateSchematic DesignDesign DevelopmentSpecificationsOperations,1,2,2 Credits: Implement 2 of 3,,,,,,,,,,,,,,,,
10,933,2.1.1,H2,2,Space Clearances,7,1,Clear Floor Space,2,0,,0,1,Clear floor spaces are at least 34 inches (865 mm) wide and 56 inches (1420 mm) deep.,,Body Fit,Schematic DesignDesign DevelopmentSpecifications,1,1,2 Credits: Implement 2 of 2      |      1 Credit: Implement 1 of 2,Fig_820_933.png,Minimum clear floor space dimensions,Plan view drawing of a woman in a wheeled mobility device with clear floor space with a chart indicating two dimension options: To satisfy 2 solutions: 34 inches wide (865 millimeters) and 56 inches d,Latest Version,,,,,,,,,,,,
11,820,2.1.2,H2,2,Space Clearances,7,1,Clear Floor Space,2,0,,0,2,Clear floor spaces are at least 32 inches (815 mm) wide and 54 inches (1370 mm) deep.,,Body Fit,Schematic DesignDesign DevelopmentSpecifications,1,1,2 Credits: Implement 2 of 2      |      1 Credit: Implement 1 of 2,Fig_820_933.png,Minimum clear floor space dimensions,Plan view drawing of a woman in a wheeled mobility device with clear floor space with a chart indicating two dimension options: To satisfy 2 solutions: 34 inches wide (865 millimeters) and 56 inches d,Latest Version,,,,,,,,,,,,
12,821,2.2.1,H2,2,Space Clearances,7,2,Turning Space,2,0,,0,1,Turning spaces for 90-degree turns are at least 43 inches (1090 mm) wide entering and exiting the turn.,,Body Fit,Schematic DesignDesign DevelopmentSpecifications,1,2,2 Credits: Implement 5 of 7      |      1 Credit: Implement 3 of 7,Fig_821_937_938.png,Minimum width of 90-degree turn,"Drawing of an L shaped corridor with a wheeled mobility device user passing through the space. The corridor width is given at both ends of the turn, identified as width A and width B. A chart indicate",Latest Version,,,,,,,,,,,,
13,937,2.2.2,H2,2,Space Clearances,7,2,Turning Space,2,0,,0,2,Turning spaces for 90-degree turns are at least 39 inches (990 mm) wide entering and exiting the turn.,,Body Fit,Schematic DesignDesign DevelopmentSpecifications,1,2,2 Credits: Implement 5 of 7      |      1 Credit: Implement 3 of 7,Fig_821_937_938.png,Minimum width of 90-degree turn,"Drawing of an L shaped corridor with a wheeled mobility device user passing through the space. The corridor width is given at both ends of the turn, identified as width A and width B. A chart indicate",Latest Version,,,,,,,,,,,,
14,938,2.2.3,H2,2,Space Clearances,7,2,Turning Space,2,0,,0,3,"Turning spaces for 90-degree turns have different widths entering and exiting the turn, such that neither is less than 36 inches (915 mm) and the sum of the width entering and exiting is 78 inches (1980 mm).",,Body Fit,Schematic DesignDesign DevelopmentSpecifications,1,2,2 Credits: Implement 5 of 7      |      1 Credit: Implement 3 of 7,Fig_821_937_938.png,Minimum width of 90-degree turn,"Drawing of an L shaped corridor with a wheeled mobility device user passing through the space. The corridor width is given at both ends of the turn, identified as width A and width B. A chart indicate",Latest Version,,,,,,,,,,,,
15,939,2.2.4,H2,2,Space Clearances,7,2,Turning Space,2,0,,0,4,Turning spaces for 180-degree turns are at least 72 inches (1830 mm) in diameter.,,Body Fit,Schematic DesignDesign DevelopmentSpecifications,1,2,2 Credits: Implement 5 of 7      |      1 Credit: Implement 3 of 7,Fig_939_940.png,Minimum diameter for 180-degree turn,"Drawing depicting a person using a wheeled mobility device  enclosed by walls on three sides. A circle is drawn within the walls. The circle is dimensioned with two options: To satisfy 2 solutions, th",Latest Version,,,,,,,,,,,,
16,940,2.2.5,H2,2,Space Clearances,7,2,Turning Space,2,0,,0,5,Turning spaces for 180-degree turns are at least 67 inches (1700 mm) in diameter.,,Body Fit,Schematic DesignDesign DevelopmentSpecifications,1,2,2 Credits: Implement 5 of 7      |      1 Credit: Implement 3 of 7,Fig_939_940.png,Minimum diameter for 180-degree turn,"Drawing depicting a person using a wheeled mobility device  enclosed by walls on three sides. A circle is drawn within the walls. The circle is dimensioned with two options: To satisfy 2 solutions, th",Latest Version,,,,,,,,,,,,
17,941,2.2.6,H2,2,Space Clearances,7,2,Turning Space,2,0,,0,6,"Turning spaces for selected 180-degree turns utilize a T-shaped turning space, with the two arms of the T at least 16 inches (410 mm) long at a width of at least 40 inches (1020 mm), and the leg of the T at least 24 inches (610 mm) long at a width of at least 40 inches (1020 mm).",,Body Fit,Schematic DesignDesign DevelopmentSpecificationsInitiate,1,2,2 Credits: Implement 5 of 7      |      1 Credit: Implement 3 of 7,Fig_941.png,T-shaped turning space,"Plan view drawing of a person using a wheeled mobility device maneuvering in a T shaped space. The T is dimensioned such that the cross bar at the top of the T is 72 inches (1,830 millimeters) minimum",Latest Version,,,,,,,,,,,,
18,942,2.2.7,H2,2,Space Clearances,7,2,Turning Space,2,0,,0,7,"Turning spaces for 360-degree turns are provided in selected areas (e.g., selected work stations, sleeping rooms, etc.) that are at least 94 inches (2390 mm) in diameter.",,Body Fit,Schematic DesignDesign DevelopmentSpecifications,1,2,2 Credits: Implement 5 of 7      |      1 Credit: Implement 3 of 7,Fig_942.png,Turning space for 360-degree turns,Plan view drawing of an office  with U shaped work space. A person using a wheeled mobility device is depicted in the work station maneuvering throughout the space. A circle is drawn within the work s,Latest Version,,,,,,,,,,,,
19,822,2.3.1,H2,2,Space Clearances,7,3,Knee and Toe Clearance,1,0,,0,1,"Knee clearance height is at least 29 inches (740 mm), at selected features and elements (e.g., work stations, tables, drinking fountains, lavatories, etc.).",,Body Fit,Design DevelopmentSpecifications,1,3,1 Credit: Implement 4 of 6,Fig_822_943_944_946_947_948.png,Minimum knee clearance height,"Drawing of side profile of a person using a wheeled mobility device. The person is using an element with a flat work surface on top and knee and toe clearance underneath, drawn to represent the minimu",Latest Version,,,,,,,,,,,,
20,943,2.3.2,H2,2,Space Clearances,7,3,Knee and Toe Clearance,1,0,,0,2,"Knee clearance depth is at least 11 inches (280 mm), as measured at the top of the knee clearance.",,Body Fit,Design DevelopmentSpecifications,1,3,1 Credit: Implement 4 of 6,Fig_822_943_944_946_947_948.png,"Minimum knee clearance depth, measured at top of knee clearance","Drawing of side profile of a person using a wheeled mobility device. The person is using an element with a flat work surface on top and knee and toe clearance underneath, drawn to represent the minimu",Latest Version,,,,,,,,,,,,
21,944,2.3.3,H2,2,Space Clearances,7,3,Knee and Toe Clearance,1,0,,0,3,"Knee clearance depth is at least 13 inches (330 mm), as measured at the top of the toe clearance.",,Body Fit,Design DevelopmentSpecifications,1,3,1 Credit: Implement 4 of 6,Fig_822_943_944_946_947_948.png,"Minimum knee clearance depth, measured at top of toe clearance","Drawing of side profile of a person using a wheeled mobility device. The person is using an element with a flat work surface on top and knee and toe clearance underneath, drawn to represent the minimu",Latest Version,,,,,,,,,,,,
22,946,2.3.4,H2,2,Space Clearances,7,3,Knee and Toe Clearance,1,0,,0,4,Toe clearance height is at least 13 inches (330 mm).,,Body Fit,Design DevelopmentSpecifications,1,3,1 Credit: Implement 4 of 6,Fig_822_943_944_946_947_948.png,Minimum toe clearance height,"Drawing of side profile of a person using a wheeled mobility device. The person is using an element with a flat work surface on top and knee and toe clearance underneath, drawn to represent the minimu",Latest Version,,,,,,,,,,,,
23,947,2.3.5,H2,2,Space Clearances,7,3,Knee and Toe Clearance,1,0,,0,5,Toe clearance height is at least 11 inches (280 mm).,,Body Fit,Design DevelopmentSpecifications,1,3,1 Credit: Implement 4 of 6,Fig_822_943_944_946_947_948.png,Minimum toe clearance height,"Drawing of side profile of a person using a wheeled mobility device. The person is using an element with a flat work surface on top and knee and toe clearance underneath, drawn to represent the minimu",Latest Version,,,,,,,,,,,,
24,948,2.3.6,H2,2,Space Clearances,7,3,Knee and Toe Clearance,1,0,,0,6,"The maximum toe clearance depth counted as part of a clear floor space is 4 inches (100 mm) beyond the knee clearance depth, as measured at the top of the toe clearance.",,Body Fit,Design DevelopmentSpecifications,1,3,1 Credit: Implement 4 of 6,Fig_822_943_944_946_947_948.png,Maximum toe clearance depth counted toward clear floor space,"Drawing of side profile of a person using a wheeled mobility device. The person is using an element with a flat work surface on top and knee and toe clearance underneath, drawn to represent the minimu",Latest Version,,,,,,,,,,,,
25,644,2.4.1,H2,2,Space Clearances,7,4,Reach Targets,2,0,,0,1,"Reach targets are not under or behind built elements or furniture, except where an equivalent target is located above the built element or furniture (e.g. if an electrical outlet is located under the desk, one is also located above).",,Body FitComfort,Specifications,1,4,2 Credits: Implement 6 of 8      |      1 Credit: Implement 5 of 8,Fig_644.png,Reach target barriers,"Drawing of a seated person at a desk with a reach target under the desk, with a green marker above the desk indicating acceptable location and red marker under the desk indicating unacceptable locatio",Latest Version,,,,,,,,,,,,
26,951,2.4.2,H2,2,Space Clearances,7,4,Reach Targets,2,0,,0,2,"Where knee or toe clearance is not provided, all reach targets have a clear floor space positioned for side approach.",,Body Fit,Schematic DesignDesign DevelopmentSpecifications,1,4,2 Credits: Implement 6 of 8      |      1 Credit: Implement 5 of 8,Fig_951.png,Side approach to reach target,"Drawing of a person using a wheeled mobility device reaching a target to the side of the wheelchair, where there is no knee or toe clearance under the target.",Latest Version,,,,,,,,,,,,
27,952,2.4.3,H2,2,Space Clearances,7,4,Reach Targets,2,0,,0,3,"Where only a forward approach to a reach target is available, the reach target overlaps the clear floor space by at least 4 inches (100 mm) (i.e., knee and/or toe clearance brings reach target closer to the user).",,Body Fit,Schematic DesignDesign DevelopmentSpecifications,1,4,2 Credits: Implement 6 of 8      |      1 Credit: Implement 5 of 8,Fig_952.png,Forward reach overlap,"Drawing of side profile of person using a wheeled mobility device, reaching forward to a target on a wall in front. The target is 4 inches ( 100 millimeters) closer to the wheelchair user due to  toe ",Latest Version,,,,,,,,,,,,
28,955,2.4.4,H2,2,Space Clearances,7,4,Reach Targets,2,0,,0,4,All reach targets are located at least 12 inches (305 mm) from a corner.,,Body Fit,Design DevelopmentSpecifications,1,4,2 Credits: Implement 6 of 8      |      1 Credit: Implement 5 of 8,Fig_955.png,Reach targets in corners,Drawing of person using a wheeled mobility device reaching a target at least 12 inches (305 millimeters) from a corner.,Latest Version,,,,,,,,,,,,
